iter	Logloss
0	0.684270978
1	0.6773232818
2	0.6667537689
3	0.6597957611
4	0.6531656981
5	0.6416900754
6	0.633369565
7	0.62554878
8	0.6205182672
9	0.6177964211
10	0.6099352837
11	0.6072765589
12	0.6029876471
13	0.5977641344
14	0.5940808058
15	0.5866698623
16	0.5800778866
17	0.5753893256
18	0.5671849251
19	0.5639246702
20	0.554900825
21	0.5491261482
22	0.543200016
23	0.5399556756
24	0.535142839
25	0.5278254747
26	0.5197312832
27	0.5118259192
28	0.5069029331
29	0.5025205016
30	0.4977445006
31	0.4924851954
32	0.4860697687
33	0.4812102318
34	0.4750189781
35	0.4681854844
36	0.4630903006
37	0.4565165639
38	0.450849086
39	0.4459928274
40	0.4398133457
41	0.4337716997
42	0.4278599322
43	0.4220746756
44	0.4177467227
45	0.412830621
46	0.4073592424
47	0.4020025432
48	0.3979429901
49	0.3927820325
50	0.3877291083
51	0.3827825189
52	0.377939105
53	0.3737496734
54	0.369092375
55	0.3645301461
56	0.3600634336
57	0.3561578095
58	0.3523276448
59	0.3481089473
60	0.3439751863
61	0.3399263024
62	0.3359590173
63	0.3320661187
64	0.3282429874
65	0.3253493309
66	0.3216453791
67	0.3180128336
68	0.3144491911
69	0.3109546304
70	0.3082842827
71	0.3049042523
72	0.3015876412
73	0.2983352542
74	0.2951416373
75	0.2920029163
76	0.2889227569
77	0.286577493
78	0.2835889757
79	0.2806573212
80	0.2777749598
81	0.274941057
82	0.2721545994
83	0.2694147825
84	0.2667199969
85	0.2640709877
86	0.2614738345
87	0.258923173
88	0.2564183474
89	0.2539587319
90	0.2515378594
91	0.2491549253
92	0.2468104959
93	0.2445021719
94	0.2422283739
95	0.2399916053
96	0.2377884984
97	0.2356214225
98	0.2334865481
99	0.231382817
