iter	Passed	Remaining
0	143	14250
1	144	7071
2	144	4678
3	145	3482
4	145	2763
5	145	2284
6	146	1942
7	146	1684
8	146	1483
9	147	1323
10	147	1192
11	147	1083
12	148	990
13	148	911
14	148	842
15	149	782
16	149	729
17	149	682
18	150	640
19	150	601
20	150	567
21	151	535
22	151	506
23	151	480
24	151	455
25	152	433
26	152	413
27	153	393
28	153	375
29	153	359
30	154	343
31	154	328
32	154	314
33	155	301
34	155	289
35	155	277
36	156	266
37	156	255
38	157	245
39	157	236
40	158	227
41	158	218
42	158	210
43	159	202
44	159	194
45	159	187
46	160	180
47	160	173
48	160	167
49	161	161
50	161	155
51	161	149
52	162	143
53	162	138
54	162	133
55	163	128
56	163	123
57	164	118
58	164	114
59	164	109
60	165	105
61	165	101
62	166	97
63	166	93
64	167	89
65	167	86
66	167	82
67	168	79
68	168	75
69	168	72
70	169	69
71	169	66
72	170	62
73	170	59
74	171	57
75	171	54
76	172	51
77	172	48
78	173	46
79	173	43
80	174	40
81	174	38
82	174	35
83	175	33
84	175	31
85	176	28
86	176	26
87	176	24
88	177	21
89	177	19
90	178	17
91	178	15
92	179	13
93	179	11
94	179	9
95	180	7
96	180	5
97	180	3
98	181	1
99	181	0
